date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:15	1256/1256	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35939-4e8%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-8.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-8.svg	(from https://html.arisetheme.com/pluxes/)
02:56:16	107802/107802	---M--	200	added ('OK')	image/jpeg	etag:%2269d35931-1a51a%22	https://html.arisetheme.com/pluxes/images/case-study-image-1.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/case-study-image-1.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:16	87585/87585	---M--	200	added ('OK')	image/jpeg	etag:%2269d35931-15621%22	https://html.arisetheme.com/pluxes/images/case-study-image-2.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/case-study-image-2.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:18	4151/4151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593a-1037%22	https://html.arisetheme.com/pluxes/images/icon-phone-white.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-phone-white.svg	(from https://html.arisetheme.com/pluxes/)
02:56:18	117902/117902	---M--	200	added ('OK')	image/jpeg	etag:%2269d35932-1cc8e%22	https://html.arisetheme.com/pluxes/images/case-study-image-3.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/case-study-image-3.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:18	1098/1098	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35939-44a%22	https://html.arisetheme.com/pluxes/images/icon-fact-item-1.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-fact-item-1.svg	(from https://html.arisetheme.com/pluxes/)
02:56:18	754/754	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35939-2f2%22	https://html.arisetheme.com/pluxes/images/icon-fact-item-2.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-fact-item-2.svg	(from https://html.arisetheme.com/pluxes/)
02:56:19	2745/2745	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593a-ab9%22	https://html.arisetheme.com/pluxes/images/icon-fact-item-3.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-fact-item-3.svg	(from https://html.arisetheme.com/pluxes/)
02:56:19	4494/4494	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-118e%22	https://html.arisetheme.com/pluxes/images/partners-logo-1.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-1.svg	(from https://html.arisetheme.com/pluxes/)
02:56:19	5278/5278	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-149e%22	https://html.arisetheme.com/pluxes/images/partners-logo-2.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-2.svg	(from https://html.arisetheme.com/pluxes/)
02:56:20	5299/5299	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-14b3%22	https://html.arisetheme.com/pluxes/images/partners-logo-3.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-3.svg	(from https://html.arisetheme.com/pluxes/)
02:56:20	5269/5269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-1495%22	https://html.arisetheme.com/pluxes/images/partners-logo-4.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-4.svg	(from https://html.arisetheme.com/pluxes/)
02:56:20	5269/5269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5746-1495%22	https://html.arisetheme.com/pluxes/images/partners-logo-5.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-5.svg	(from https://html.arisetheme.com/pluxes/)
02:56:21	4494/4494	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5746-118e%22	https://html.arisetheme.com/pluxes/images/partners-logo-6.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-6.svg	(from https://html.arisetheme.com/pluxes/)
02:56:21	5278/5278	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5746-149e%22	https://html.arisetheme.com/pluxes/images/partners-logo-7.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-7.svg	(from https://html.arisetheme.com/pluxes/)
02:56:21	5299/5299	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5748-14b3%22	https://html.arisetheme.com/pluxes/images/partners-logo-8.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/partners-logo-8.svg	(from https://html.arisetheme.com/pluxes/)
02:56:21	1263/1263	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5748-4ef%22	https://html.arisetheme.com/pluxes/images/icon-how-work-item-1.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-how-work-item-1.svg	(from https://html.arisetheme.com/pluxes/)
02:56:22	915/915	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5748-393%22	https://html.arisetheme.com/pluxes/images/icon-how-work-item-2.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-how-work-item-2.svg	(from https://html.arisetheme.com/pluxes/)
02:56:22	1430/1430	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-596%22	https://html.arisetheme.com/pluxes/images/icon-how-work-item-3.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-how-work-item-3.svg	(from https://html.arisetheme.com/pluxes/)
02:56:22	806/806	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269ec5747-326%22	https://html.arisetheme.com/pluxes/images/icon-how-work-item-4.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-how-work-item-4.svg	(from https://html.arisetheme.com/pluxes/)
02:56:23	1401/1401	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593d-579%22	https://html.arisetheme.com/pluxes/images/icon-share.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-share.svg	(from https://html.arisetheme.com/pluxes/)
02:56:24	234605/234605	---M--	200	added ('OK')	image/jpeg	etag:%2269d35944-3946d%22	https://html.arisetheme.com/pluxes/images/team-1.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/team-1.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:24	204220/204220	---M--	200	added ('OK')	image/jpeg	etag:%2269d35944-31dbc%22	https://html.arisetheme.com/pluxes/images/team-2.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/team-2.jpg	(from https://html.arisetheme.com/pluxes/)
